cycle,range_bin,doppler_bin,output_hex
1066345000,5,21,00a3fee9
1066355000,5,22,ff4100cf
1066365000,5,23,008400c7
1066375000,5,24,01c8fe39
1066385000,5,25,fe1700d6
1066395000,5,26,003800eb
1066405000,5,27,00f5fe68
1066415000,5,28,ff47016d
1066425000,5,29,000efe72
1066435000,5,30,ff270297
1066445000,5,31,0014fc46
1071525000,6,0,00bd0135
1071535000,6,1,0044001d
1071545000,6,2,ff78fe6c
1071555000,6,3,0199009d
1071565000,6,4,fd0500fc
1071575000,6,5,03f3fff8
1071585000,6,6,fc670028
1071595000,6,7,0117fddc
1071605000,6,8,01450299
1071615000,6,9,fed9fe4c
1071625000,6,10,00170024
1071635000,6,11,00aa00bc
1071645000,6,12,fe84ff16
1071655000,6,13,019c00ee
1071665000,6,14,ff7fff71
1071675000,6,15,ff46ffb1
1071685000,6,16,017300ad
1071695000,6,17,ffd2ff21
1071705000,6,18,ff2a01dc
1071715000,6,19,ff29fe57
1071725000,6,20,00a10090
1071735000,6,21,00d3ff80
1071745000,6,22,fe79ff4e
1071755000,6,23,008301da
1071765000,6,24,0217fe95
1071775000,6,25,fd85028e
1071785000,6,26,01abfd18
1071795000,6,27,ffa801ec
1071805000,6,28,0062ff0e
1071815000,6,29,fe02ffea
1071825000,6,30,01f5ff75
1071835000,6,31,fe64fff5
1076915000,7,0,006e0292
1076925000,7,1,005bfeba
1076935000,7,2,000cff3b
1076945000,7,3,ff530197
1076955000,7,4,002dff2a
1076965000,7,5,022e000f
1076975000,7,6,fe63fffb
1076985000,7,7,ffc30131
1076995000,7,8,ffa2fe9e
1077005000,7,9,ff070153
1077015000,7,10,0201fe27
1077025000,7,11,018a015b
1077035000,7,12,fc5efea0
1077045000,7,13,035000c2
1077055000,7,14,fdb6ffb0
1077065000,7,15,00ebffdf
1077075000,7,16,fece0014
1077085000,7,17,00d3ffe4
1077095000,7,18,ffba011d
1077105000,7,19,ffabffd1
1077115000,7,20,0049fede
1077125000,7,21,0082017d
1077135000,7,22,ff11fedb
1077145000,7,23,00830073
1077155000,7,24,009efef8
1077165000,7,25,fea701f3
1077175000,7,26,0205ff59
1077185000,7,27,fda4fe7d
1077195000,7,28,01a0031c
1077205000,7,29,ff44fd06
1077215000,7,30,018a02b2
1077225000,7,31,fe13fcf5
1082305000,8,0,00580199
1082315000,8,1,00fafea3
1082325000,8,2,ff4d016f
1082335000,8,3,ff1aff40
1082345000,8,4,ff3a0116
1082355000,8,5,03b8fe95
1082365000,8,6,fc98016f
1082375000,8,7,01cffed4
1082385000,8,8,009c0027
1082395000,8,9,fe0f001c
1082405000,8,10,00b5ff7d
1082415000,8,11,ff070355
1082425000,8,12,014bfc04
1082435000,8,13,febf0092
1082445000,8,14,02800128
1082455000,8,15,fe41fed1
1082465000,8,16,003e00f9
1082475000,8,17,01040007
1082485000,8,18,fe13ffb5
1082495000,8,19,00660062
1082505000,8,20,00b8ffb6
1082515000,8,21,ff68005f
1082525000,8,22,00a8ff5b
1082535000,8,23,fd9fffd2
1082545000,8,24,0416007f
1082555000,8,25,fe43012a
1082565000,8,26,ff4bfe67
1082575000,8,27,01c5001d
1082585000,8,28,fe1b0090
1082595000,8,29,0171fffa
1082605000,8,30,ff30001e
1082615000,8,31,ff75fe55
1087695000,9,0,01dffffb
1087705000,9,1,ff12ffe4
1087715000,9,2,00b0010a
1087725000,9,3,fffbfed4
1087735000,9,4,fe3affce
1087745000,9,5,020f01b2
1087755000,9,6,fe9cff68
1087765000,9,7,01810069
1087775000,9,8,fe23ff00
1087785000,9,9,033f00b5
1087795000,9,10,fd38ff00
1087805000,9,11,febd012a
1087815000,9,12,032cfea5
1087825000,9,13,fe2f0123
1087835000,9,14,0073fea7
1087845000,9,15,008801fa
1087855000,9,16,ffd3fffb
1087865000,9,17,00a2fea8
1087875000,9,18,fd3200ec
1087885000,9,19,0249ff16
1087895000,9,20,000800a8
1087905000,9,21,fec5ffa8
1087915000,9,22,01c2ffd6
1087925000,9,23,fe6d0039
1087935000,9,24,00db0122
